区域,所属产品,模块,场景名称,场景等级,接口名称,涉及接口
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,主动查询次卡支付结果,/v1/prepaid-card/order-info/pay/query
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,用户手动申请次卡退款,/v1/prepaid-card/order-info/refund/apply
国内,蜜雪小程序/支付宝小程序/Android/IOS,退款管理,退款管理,P0,list,/v1/refundreasonconf/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,搜索管理,搜索管理,P1,列表,v1/searchWord/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,搜索管理,搜索管理,P1,getSearchZone,v1/searchWord/searchZone
国内,蜜雪小程序/支付宝小程序/Android/IOS,腾讯集成,腾讯集成,P0,支付通知,/vqq/pay
国内,蜜雪小程序/支付宝小程序/Android/IOS,腾讯集成,腾讯集成,P2,核销通知,/vqq/recharge
国内,蜜雪小程序/支付宝小程序/Android/IOS,测试接口,测试接口,P2,testMSZYRule,/v1/test/testMSZYRule
国内,蜜雪小程序/支付宝小程序/Android/IOS,测试接口,测试接口,P0,testRegistRule,/v1/test/testRegistRule
国内,蜜雪小程序/支付宝小程序/Android/IOS,测试接口,测试接口,P2,test22,/v1/test/testYuMu
国内,蜜雪小程序/支付宝小程序/Android/IOS,测试接口,测试接口,P2,testLog,/v1/test/log-test
国内,蜜雪小程序/支付宝小程序/Android/IOS,测试接口,测试接口,P2,testLogPost,/v1/test/log-test-post
国内,蜜雪小程序/支付宝小程序/Android/IOS,优惠券,优惠券,P2,命中场景并预发券，返回微信发券组件 token,/v1/wechat-product-coupon/receive-scene/pre-send
国内,蜜雪小程序/支付宝小程序/Android/IOS,微信集成,微信集成,P2,入会组件预授权,/v1/app/wxMemberCard/preAuth
国内,蜜雪小程序/支付宝小程序/Android/IOS,微信集成,微信集成,P1,查询入会结果,/v1/app/wxMemberCard/queryResult
国内,蜜雪小程序/支付宝小程序/Android/IOS,微信集成,微信集成,P1,查询入会组件开关接口,/v1/app/wxMemberCard/querySwitch
国内,蜜雪小程序/支付宝小程序/Android/IOS,微信集成,微信集成,P2,微信通知,/v1/wx/notify
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,rewardDetail,/v1/reward/physical/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,physicalRewardFill,/v1/reward/physical/fill
国内,蜜雪小程序/支付宝小程序/Android/IOS,其他,其他,P2,年度账单汇总信息,/v1/aty/customerBill
国内,蜜雪小程序/支付宝小程序/Android/IOS,其他,其他,P2,2023年度账单汇总信息,/v1/aty/customer-bill/2023
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,查询活动信息,/v1/h5/marketing/invitingReward/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P2,查询活动信息,/v1/h5/marketing/invitingReward/newRewardNum
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,邀请列表,/v1/h5/marketing/invitingReward/invitingList
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P2,邀请人查询领取奖励情况,/v1/h5/marketing/invitingReward/isReward
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,奖励列表,/v1/h5/marketing/invitingReward/rewardList
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,邀请人查询领取奖励情况,/v1/h5/marketing/invitingReward/getReward
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,获取中奖名单,/v1/aty/orderForFree/getAwardList
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,校验活动二维码是否被激活,/v1/qrcode/activate/check
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,getCommunityActInfo,/v1/marketing/redeem-act/community/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P2,redeemCommunityVerify,/v1/marketing/redeem-act/community/verify
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,查询活动信息,/v1/h5/marketing/secKill-act/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,领取优惠券,/v1/h5/marketing/secKill-act/doGet
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P0,查询活动信息,/v1/h5/marketing/secKill-act/getInfoWithoutLogin
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P0,领取优惠券,/v1/h5/marketing/secKill-act/doGetWithoutLogin
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,查询活动信息,/v1/h5/marketing/secretword/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P2,获奖公示查询,/v1/h5/marketing/secretword/publish
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P1,中奖列表查询,/v1/h5/marketing/secretword/winningList
国内,蜜雪小程序/支付宝小程序/Android/IOS,营销活动,营销活动,P2,口令确认,/v1/h5/marketing/secretword/confirm
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P2,集卡订单信息,/v1/shopCard/order
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P1,统计信息,/v1/shopCard/{marketingId}/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P2,增加昨日门店奖励查看次数,/v1/shopCard/{marketingId}/addYesterdayStoreAwardViewTimes
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P2,排行榜,/v1/shopCard/{marketingId}/rank
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P2,集卡门店列表,/v1/shopCard/{marketingId}/store
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P2,排行榜是否获奖,/v1/shopCard/{marketingId}/isTopAward
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P0,保存收货地址,/v1/shopCard/{marketingId}/saveAddress
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P1,查询收货地址,/v1/shopCard/{marketingId}/queryAddress
国内,蜜雪小程序/支付宝小程序/Android/IOS,生日活动,生日活动,P1,下单总数,/v1/snowBirthday/total
国内,蜜雪小程序/支付宝小程序/Android/IOS,生日活动,生日活动,P2,送祝福到云幕,/v1/snowBirthday/bless/sendYunMu
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,统计信息,/v1/unlockKingPoseActivity/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,增加昨日门店奖励查看次数,/v1/unlockKingPoseActivity/addYesterdayStoreAwardViewTimes
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,排行榜,/v1/unlockKingPoseActivity/rank
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,集卡门店列表,/v1/unlockKingPoseActivity/store
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P2,排行榜是否获奖,/v1/unlockKingPoseActivity/isTopAward
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P0,保存收货地址,/v1/unlockKingPoseActivity/saveAddress
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,查询收货地址,/v1/unlockKingPoseActivity/queryAddress
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P2,兑换激活,/v1/giftcard/exchange/activate
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,根据授权码查询卡模板信息,/v1/giftcard/exchange/getTemplateByCardAuthCode
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,兑换激活的卡列表,/v1/giftcard/exchange/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P2,批量转赠,/v1/giftcard/give/batchgive
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P0,批量取消转赠,/v1/giftcard/give/batchcancel
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P2,批量接收转赠,/v1/giftcard/give/batchreceive
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,分页查询收送记录,/v1/giftcard/give/getgiverecords
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,查询转赠详情,/v1/giftcard/give/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getDailyGiveLimitInfo,/v1/giftcard/give/dailygivelimitinfo
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getMenu,/v1/giftcard/purchase/menu
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getTemplate,/v1/giftcard/purchase/template/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getMyList,/v1/giftcard/my_card/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getCardInfo,/v1/giftcard/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getAvailableList,/v1/giftcard/available/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P2,activate,/v1/giftcard/activate
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getUnActivateList,/v1/giftcard/unActivate/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getAsset,/v1/giftcard/asset
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P2,summary,/v1/giftcard/summary
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P1,getGiftCardPurchaseLimitVo,/v1/giftcard/purchase/limit
国内,蜜雪小程序/支付宝小程序/Android/IOS,礼品卡,礼品卡,P2,activateByOrderId,/v1/giftcard/activateByOrderId
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P0,saveInvoiceTitle,/v1/h5/invoice/title/save
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P2,updateInvoiceTitle,/v1/h5/invoice/title/update
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P1,queryInvoiceTitle,/v1/h5/invoice/title/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P2,deleteInvoiceTitle,/v1/h5/invoice/title/delete
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P2,applyInvoice,/v1/h5/invoice/apply
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P1,queryInvoiceRecord,/v1/h5/invoice/record/query
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P1,getInvoiceDetail,/v1/h5/invoice/record/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,发票管理,发票管理,P1,getInvoiceOrders,/v1/h5/invoice/orders
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,createOrder,/v1/giftcard/order/create
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,queryOrder,/v1/giftcard/order/query
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,getOrderDetail,/v1/giftcard/order/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,queryOrderCardList,/v1/giftcard/order/cardlist
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,refundApply,/v1/giftcard/refund/apply
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,payGift,/v1/giftcard/order/payGift
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,queryPhysicalRewardList,/v1/giftcard/order/paygift/physical-reward-list
国内,蜜雪小程序/支付宝小程序/Android/IOS,三方对接,三方对接,P2,handleBatchOpenResult,/v1/third/sand/notify/batch-open-result
国内,蜜雪小程序/支付宝小程序/Android/IOS,三方对接,三方对接,P0,handleMultiPayRechargeResult,/v1/third/sand/notify/multi-pay-recharge-result
国内,蜜雪小程序/支付宝小程序/Android/IOS,三方对接,三方对接,P2,handleInvoiceResult,/v1/third/taxshare/invoice/notify
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P0,saveAndPrepay,/v1/memberplus/order/saveAndPrepay
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P1,info,/v1/memberplus/order/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,订单管理,订单管理,P2,history,/v1/memberplus/order/history
国内,蜜雪小程序/支付宝小程序/Android/IOS,省钱卡,省钱卡,P1,getOnSaleProductInfo,/v1/memberplus/product/onsale/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,省钱卡,省钱卡,P1,getLatestProductInfo,/v1/memberplus/product/latest/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,省钱卡,省钱卡,P1,queryProductJumpList,/v1/memberplus/product/jump/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,省钱卡,省钱卡,P2,recommend,/v1/memberplus/product/settlement/recommend
国内,蜜雪小程序/支付宝小程序/Android/IOS,省钱卡,省钱卡,P1,getIdentityInfo,/v1/memberplus/rights/getIdentityInfo
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,根据活动ID查询活动详情,/v1/prepaid/activity/detail/{activityId}
国内,蜜雪小程序/支付宝小程序/Android/IOS,活动管理,活动管理,P1,获取启用的次卡活动,/v1/prepaid/activity/getEnabledActivity
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,获取门店菜单,/v2/shop/menu/get/{shopId}
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,获取门店菜单-增加外卖,/v2/shop/menu/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,getGroupCartMenu,/v2/shop/menu/groupcart/productlist
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,getMenuByCoupon,/v2/shop/menu/coupon/productlist
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,getSuitableMenuByCoupon,/v2/shop/menu/coupon/suitable-menu
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,获取营销菜单,/v1/marketingMenu/query
国内,蜜雪小程序/支付宝小程序/Android/IOS,点餐页,点餐页,P1,获取门店菜单-增加外卖,/v3/shop/menu/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P1,multiQuery,/v2/shop/product/multiquery
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P1,getMenuProductDetail,/v2/shop/product/detail
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P2,recommendProducts,/v2/shop/product/recommendProducts
国内,蜜雪小程序/支付宝小程序/Android/IOS,门店管理,门店管理,P1,附近门店,v2/shopinfo/findNear
